customer_id,customer_name,customer_email,country,gender,age,annual_salary,credit_card_debt,net_worth,car_purchase_amount,age_group
1,"Martina Avila",cubilia.Curae.Phasellus@quisaccumsanconvallis.edu,USA,Male,42,62812.093010,11609.380910,238961.250500,35321.458770,Adult
2,"Harlan Barnes",eu.dolor@diam.co.uk,USA,Male,41,66646.892920,9572.957136,530973.907800,45115.525660,Adult
3,"Naomi Rodriquez",vulputate.mauris.sagittis@ametconsectetueradipiscing.co.uk,USA,Female,43,53798.551120,11160.355060,638467.177300,42925.709210,Adult
4,"Jade Cunningham",malesuada@dignissim.com,USA,Female,58,79370.037980,14426.164850,548599.052400,67422.363130,Senior
5,"Cedric Leach",felis.ullamcorper.viverra@egetmollislectus.net,USA,Female,57,59729.151300,5358.712177,560304.067100,55915.462480,Senior
6,"Carla Hester",mi@Aliquamerat.edu,USA,Female,57,68499.851620,14179.472440,428485.360400,56611.997840,Senior
7,"Griffin Rivera",vehicula@at.co.uk,USA,Female,47,39814.522000,5958.460188,326373.181200,28925.705490,Adult
8,"Orli Casey",nunc.est.mollis@Suspendissetristiqueneque.co.uk,USA,Female,50,51752.234450,10985.696560,629312.404100,47434.982650,Senior
9,"Marny Obrien",Phasellus@sedsemegestas.org,USA,Male,47,58139.259100,3440.823799,630059.027400,48013.614100,Adult
10,"Rhonda Chavez",nec@nuncest.com,USA,Female,43,53457.101320,12884.078680,476643.354400,38189.506010,Adult
11,"Jerome Rowe",ipsum.cursus@dui.org,USA,Female,50,73348.707450,8270.707359,612738.617100,59045.513090,Senior
12,"Akeem Gibson",turpis.egestas.Fusce@purus.edu,USA,Female,53,55421.657330,10014.969290,293862.512300,42288.810460,Senior
13,"Quin Smith",nulla@ipsum.edu,USA,Male,44,37336.338300,10218.320920,430907.167300,28700.033400,Adult
14,"Tatum Moon",Cras.sed.leo@Seddiamlorem.ca,USA,Male,48,68304.472980,9466.995128,420322.070200,49258.875710,Adult
15,"Sharon Sharpe",eget.metus@aaliquetvel.co.uk,USA,Male,55,72776.003820,10597.638140,146344.896500,49510.033560,Senior
16,"Thomas Williams",aliquet.molestie@ut.org,USA,Female,53,64662.300610,11326.034340,481433.432400,53017.267230,Senior
17,"Blaine Bender",ultrices.posuere.cubilia@pedenonummyut.net,USA,Male,45,63259.878370,11495.549990,370356.222300,41814.720670,Adult
18,"Stephen Lindsey",erat.eget.ipsum@tinciduntpede.org,USA,Female,48,52682.064010,12514.520290,549443.588600,43901.712440,Adult
19,"Sloane Mann",at.augue@augue.net,USA,Female,52,54503.144230,7377.820914,431098.999800,44633.992410,Senior
20,"Athena Wolf",volutpat.Nulla.facilisis@primis.ca,USA,Male,59,55368.237160,13272.946470,566022.130600,54827.524030,Senior
21,"Blythe Romero",Sed.eu@risusNuncac.co.uk,USA,Female,52,63435.863040,11878.037790,480588.234500,51130.953790,Senior
22,"Zelenia Byers",auctor.non@sapien.co.uk,USA,Male,48,64347.345310,10905.366280,307226.097700,43402.315250,Adult
23,"Nola Wiggins",Aliquam@augue.edu,USA,Female,46,65176.690550,7698.552234,497526.456600,47240.860040,Adult
24,"Micah Wheeler",arcu.eu@tincidunt.org,USA,Female,47,52027.638370,11960.853770,688466.050300,46635.494320,Adult
25,"Caryn Hendrix",condimentum.Donec@duiCum.com,USA,Male,40,69612.012300,8125.598993,499086.344200,45078.401930,Adult
